E /V,I /uA,I /uA,I /uA,I /uA,I /uA,I /uA
-0.045,129.986,126.304,125.154,124.464,124.049,123.62
-0.04,126.703,122.991,121.825,121.15,120.782,120.322
-0.035,123.298,119.524,118.328,117.714,117.331,116.886
-0.03,119.693,115.889,114.707,114.109,113.726,113.296
-0.025,116.195,112.33,111.149,110.55,110.213,109.768
-0.02,112.683,108.832,107.666,107.068,106.731,106.286
-0.015,109.354,105.519,104.307,103.724,103.371,102.926
-0.01,106.194,102.328,101.116,100.533,100.181,99.766
-0.005,103.172,99.337,98.11,97.527,97.205,96.745
0,100.365,96.53,95.287,94.704,94.413,93.922
0.005,97.742,93.891,92.649,92.081,91.805,91.299
0.01,95.287,91.437,90.194,89.627,89.366,88.845
0.015,92.986,89.151,87.893,87.326,87.065,86.544
0.02,90.839,87.019,85.731,85.178,84.902,84.396
0.025,88.845,85.04,83.721,83.169,82.877,82.402
0.03,86.942,83.184,81.865,81.282,80.991,80.5
0.035,85.163,81.435,80.101,79.518,79.257,78.751
0.04,83.506,79.779,78.459,77.877,77.677,77.11
0.045,81.957,78.229,76.941,76.358,76.143,75.56
0.05,80.484,76.787,75.499,74.885,74.686,74.118
0.055,79.104,75.422,74.118,73.505,73.321,72.753
0.06,77.8,74.134,72.799,72.216,72.001,71.449
0.065,76.588,72.876,71.541,71.004,70.744,70.237
0.07,75.422,71.741,70.391,69.838,69.593,69.071
0.075,74.302,70.651,69.302,68.734,68.519,67.952
0.08,73.259,69.624,68.274,67.706,67.491,66.893
0.085,72.277,68.627,67.292,66.724,66.525,65.911
0.09,71.311,67.676,66.372,65.773,65.589,64.976
0.095,70.406,66.801,65.451,64.853,64.7,64.071
0.1,69.547,65.942,64.577,63.994,63.825,63.227
0.105,68.734,65.098,63.733,63.166,62.982,62.414
0.11,67.936,64.316,62.951,62.399,62.184,61.632
0.115,67.169,63.58,62.199,61.662,61.463,60.865
0.12,66.433,62.843,61.509,60.941,60.742,60.128
0.125,65.743,62.153,60.849,60.251,60.052,59.438
0.13,65.068,61.509,60.205,59.576,59.423,58.794
0.135,64.408,60.88,59.545,58.932,58.794,58.134
0.14,63.779,60.266,58.916,58.303,58.165,57.521
0.145,63.181,59.668,58.318,57.72,57.551,56.922
0.15,62.598,59.085,57.735,57.137,56.968,56.355
0.155,62.015,58.548,57.168,56.585,56.416,55.787
0.16,61.494,57.996,56.631,56.048,55.879,55.235
0.165,60.987,57.475,56.125,55.526,55.358,54.729
0.17,60.466,56.938,55.634,55.005,54.867,54.223
0.175,59.975,56.477,55.189,54.529,54.422,53.747
0.18,59.499,56.002,54.713,54.069,53.946,53.271
0.185,59.039,55.511,54.238,53.624,53.471,52.827
0.19,58.594,55.082,53.793,53.179,53.026,52.382
0.195,58.15,54.652,53.348,52.765,52.596,51.952
0.2,57.72,54.253,52.949,52.351,52.198,51.523
0.205,57.321,53.824,52.55,51.937,51.799,51.124
0.21,56.953,53.409,52.167,51.553,51.415,50.74
0.215,56.554,53.041,51.799,51.155,51.047,50.357
0.22,56.155,52.673,51.415,50.802,50.664,49.973
0.225,55.803,52.305,51.062,50.449,50.296,49.605
0.23,55.434,51.952,50.71,50.096,49.943,49.268
0.235,55.097,51.599,50.372,49.743,49.636,48.93
0.24,54.759,51.277,50.019,49.406,49.298,48.577
0.245,54.453,50.955,49.728,49.099,48.992,48.271
0.25,54.13,50.633,49.436,48.792,48.669,47.964
0.255,53.808,50.311,49.16,48.47,48.363,47.642
0.26,53.502,50.004,48.838,48.179,48.071,47.32
0.265,53.21,49.713,48.547,47.887,47.764,47.043
0.27,52.934,49.421,48.255,47.611,47.473,46.783
0.275,52.612,49.16,47.979,47.304,47.197,46.476
0.28,52.351,48.9,47.718,47.043,46.936,46.215
0.285,52.121,48.639,47.458,46.798,46.675,45.954
0.29,51.891,48.363,47.228,46.537,46.399,45.694
0.295,51.615,48.117,46.982,46.292,46.184,45.448
0.3,51.369,47.872,46.737,46.062,45.954,45.203
0.305,51.139,47.626,46.491,45.832,45.709,44.973
0.31,50.909,47.396,46.276,45.586,45.479,44.742
0.315,50.679,47.197,46.077,45.356,45.279,44.512
0.32,50.48,46.997,45.862,45.141,45.065,44.282
0.325,50.296,46.767,45.648,44.957,44.819,44.068
0.33,50.096,46.553,45.433,44.742,44.604,43.853
0.335,49.897,46.369,45.249,44.528,44.42,43.653
0.34,49.713,46.169,45.049,44.328,44.221,
0.345,49.529,45.97,44.85,44.129,44.037,
0.35,49.36,45.786,44.681,43.945,43.837,
0.355,49.206,45.617,44.497,43.761,43.669,
0.36,49.053,45.448,44.313,43.577,43.485,
0.365,48.93,45.279,44.16,43.423,43.301,
0.37,48.746,45.095,43.991,43.255,43.101,
0.375,48.623,44.988,43.868,43.086,42.963,
0.38,48.47,44.835,43.699,42.917,42.81,
0.385,48.347,44.681,43.531,42.764,42.641,
0.39,48.24,44.528,43.408,42.61,42.503,
0.395,48.133,44.39,43.27,42.457,42.365,
0.4,48.041,44.282,43.132,42.334,42.227,
0.405,47.918,44.16,43.009,42.196,42.073,
0.41,47.81,44.037,42.902,42.073,41.935,
0.415,47.718,43.929,42.779,41.935,41.797,
0.42,47.626,43.837,42.626,41.797,41.675,
0.425,47.55,43.73,42.503,41.69,41.567,
0.43,47.488,43.623,42.395,41.582,41.46,
0.435,47.381,43.546,42.303,41.49,41.352,
0.44,47.304,43.469,42.211,41.398,41.276,
0.445,47.243,43.377,42.135,41.306,41.168,
0.45,47.166,43.301,42.073,41.23,41.061,
0.455,47.105,43.239,41.997,41.138,40.984,
0.46,47.059,43.208,41.92,41.061,40.908,
0.465,47.013,43.162,41.843,41.015,40.846,
0.47,46.982,43.132,41.813,40.954,40.785,
0.475,46.967,43.086,41.767,40.877,40.723,
0.48,46.921,43.055,41.721,40.831,40.693,
0.485,46.89,43.024,41.675,40.8,40.631,
0.49,46.859,42.978,41.644,40.785,40.585,
0.495,46.829,42.963,41.628,40.739,40.555,
